county_ID,school_ID,school_name,overview_paragraph,language_classes,neighborhood,location,phone_number,website,total_students,borough
0,1610612737,"Clinton School Writers & Artists, M.S. 260","Students who are prepared for college must have an education that encourages them to take risks as they produce and perform. Our college preparatory curriculum develops writers and has built a tight-knit community. Our school develops students who can think analytically and write creatively. Our arts programming builds on our 25 years of experience in visual, performing arts and music on a middle school level. We partner with New Audience and the Whitney Museum as cultural partners. We are a International Baccalaureate (IB) candidate school that offers opportunities to take college courses at neighboring universities.",,Chelsea-Union Sq,"10 East 15th Street, Manhattan NY 10003 (40.736526, -73.992727)",212-524-4360,www.theclintonschool.net,376,MANHATTAN
0,1610612738,Liberation Diploma Plus High School,"The mission of Liberation Diploma Plus High School, in partnership with CAMBA, is to develop the student academically, socially, and emotionally. We will equip students with the skills needed to evaluate their options so that they can make informed and appropriate choices and create personal goals for success. Our year-round model (trimesters plus summer school) provides students the opportunity to gain credits and attain required graduation competencies at an accelerated rate. Our partners offer all students career preparation and college exposure. Students have the opportunity to earn college credit(s). In addition to fulfilling New York City graduation requirements, students are required to complete a portfolio to receive a high school diploma.","French, Spanish",Seagate-Coney Island,"2865 West 19th Street, Brooklyn, NY 11224 (40.576976, -73.985413)",718-946-6812,schools.nyc.gov/schoolportals/21/K728,206,BROOKLYN 
0,1610612740,Women's Academy of Excellence,"The WomenÂ’s Academy of Excellence is an all-girls public high school, serving grades 9-12. Our mission is to create a community of lifelong learners, to nurture the intellectual curiosity and creativity of young women and to address their developmental needs. The school community cultivates dynamic, participatory learning, enabling students to achieve academic success at many levels, especially in the fields of math, science, and civic responsibility. Our scholars are exposed to a challenging curriculum that encourages them to achieve their goals while being empowered to become young women and leaders. Our Philosophy is GIRLS MATTER!",Spanish,Castle Hill-Clason Point,"456 White Plains Road, Bronx NY 10473 (40.815043, -73.85607)",718-542-0740,schools.nyc.gov/SchoolPortals/08/X282,338,BRONX    
0,1610612741,Brooklyn School for Music & Theatre,"Brooklyn School for Music & Theatre (BSMT) uses our academic program to accommodate the intellectual, social, and emotional needs of creative high school students. Our vision is to provide a model professional environment where respect is mutual, ideas are shared, and learning is not limited to the classroom. We prepare students for higher education through our rigorous academic program while simultaneously allowing them to develop professional careers in the music and theatre industries.",Spanish,Crown Heights South,"883 Classon Avenue, Brooklyn NY 11225 (40.669805, -73.960689)",718-230-6250,www.bkmusicntheatre.com,352,BROOKLYN 
0,1610612742,Epic High School - South,"Epic High School Â– South, an outgrowth of the NYC Expanded Success Initiative (ESI), provides a rigorous, culturally relevant academic program that prepares students for the demands of college and careers. EpicÂ’s personalized approach to instruction challenges students to dream big and design their futures. It engages students in solving real-world problems and supports their individual progress and growth. Epic students graduate with confidence in their ability to transform the world around them.",,South Ozone Park,"121-10 Rockaway Boulevard, South Ozone Park NY 11420 (40.675021, -73.81673)",718-845-1290,www.epicschoolsnyc.org,175,QUEENS   
0,1610612743,Preparatory Academy for Writers: A College Board School,"Preparatory Academy for Writers: A College Board School is a small school committed to combining a challenging curriculum with a focus on writing and publishing. Students learn to think critically, communicate effectively, and be open to a wide range of ideas and experiences. Students in all programs will write for publication, both in print and online forums.","French, Spanish",Springfield Gardens North,"143-10 Springfield Boulevard, Springfield Gardens NY 11413 (40.66903, -73.757744)",718-949-8405,www.preparatoryacademyforwriters.com,578,QUEENS   
0,1610612745,Brooklyn Generation School,"This school invites students and families to a four-year conversation to ensure they graduate with competence and confidence. Our students receive intensive, small group instruction on a daily basis and complete projects that connect learning to life. Brooklyn Generation School students benefit from our month-long College and Career Intensives, with dedicated time to focus on the college process and career exploration. Our teachers continually monitor and assess each studentÂ’s progress and keep parents informed of their childÂ’s academic strengths and challenges. Our liberal arts curriculum provides students with the skills, knowledge, and experience needed to become active and productive members of their community.",French,Canarsie,"6565 Flatlands Avenue, Brooklyn NY 11236 (40.634451, -73.916927)",718-968-4200,www.generationschools.org,234,BROOKLYN 
0,1610612746,Pan American International High School,"The Pan American International High School is a diverse learning community of recently-immigrated English Language Learners (ELLs). Our primary focus is English language development, while providing opportunities for students to enhance their Spanish language skills. Our partnerships with organizations such as Urban Arts cultivate the leadership of students in their communities through service, learning projects, internships, and the arts. We are committed to creating an environment that celebrates studentsÂ’ individual identities while preparing them to be successful in college and become productive members of the global community.",Spanish,Elmhurst,"45-10 94th Street, Elmhurst NY 11373 (40.743228, -73.871505)",718-271-3602,www.panamericanihs.org,380,QUEENS   
0,1610612747,"Bronx School for Law, Government and Justice","The Bronx School for Law, Government and Justice (LGJ) is an educational community that believes learning is a product of thinking. Students are engaged in Â“hands-on, minds-onÂ” learning in their core classes, as well as through the law curriculum, mentoring, internships, advisory, and extracurricular activities. LGJ is unique in that students have the opportunity to experience our stand-alone law curriculum while sharing a campus with the Bronx Court complex.",Spanish,E. Concourse-Concourse Village,"244 East 163rd Street, Bronx NY 10451 (40.827461, -73.919024)",718-410-3430,www.bronxlgj.org,772,BRONX    
0,1610612748,Richmond Hill High School,"Through a college preparatory curriculum, our school focuses on the crucial life skills of problem-solving, critical thinking, and literacy. Our school meets all studentsÂ’ educational needs, beginning with the Ninth Grade Academy and continuing with focused Small Learning Communities. Each program fosters high expectations and academic achievement in a positive and supportive learning environment. The Small Learning Community pathways include themed programs for college and career readiness. We welcome our students and parents to join us in cultivating a professional learning community.",Spanish,Richmond Hill,"89-30 114th Street, Richmond Hill NY 11418 (40.695171, -73.833815)",718-846-3335,www.richmondhillhs.org,"1,950",QUEENS   
