school_name,overview_paragraph,language_classes,neighborhood,location,phone_number,website,total_students,Borough
"Clinton School Writers & Artists, M.S. 260","Students who are prepared for college must have an education that encourages them to take risks as they produce and perform. Our college preparatory curriculum develops writers and has built a tight-knit community. Our school develops students who can think analytically and write creatively. Our arts programming builds on our 25 years of experience in visual, performing arts and music on a middle school level. We partner with New Audience and the Whitney Museum as cultural partners. We are a International Baccalaureate (IB) candidate school that offers opportunities to take college courses at neighboring universities.",,Chelsea-Union Sq,"10 East 15th Street, Manhattan NY 10003 (40.736526, -73.992727)",212-524-4360,www.theclintonschool.net,376,MANHATTAN
Liberation Diploma Plus High School,"The mission of Liberation Diploma Plus High School, in partnership with CAMBA, is to develop the student academically, socially, and emotionally. We will equip students with the skills needed to evaluate their options so that they can make informed and appropriate choices and create personal goals for success. Our year-round model (trimesters plus summer school) provides students the opportunity to gain credits and attain required graduation competencies at an accelerated rate. Our partners offer all students career preparation and college exposure. Students have the opportunity to earn college credit(s). In addition to fulfilling New York City graduation requirements, students are required to complete a portfolio to receive a high school diploma.","French, Spanish",Seagate-Coney Island,"2865 West 19th Street, Brooklyn, NY 11224 (40.576976, -73.985413)",718-946-6812,schools.nyc.gov/schoolportals/21/K728,206,BROOKLYN 
Women's Academy of Excellence,"The WomenÂ’s Academy of Excellence is an all-girls public high school, serving grades 9-12. Our mission is to create a community of lifelong learners, to nurture the intellectual curiosity and creativity of young women and to address their developmental needs. The school community cultivates dynamic, participatory learning, enabling students to achieve academic success at many levels, especially in the fields of math, science, and civic responsibility. Our scholars are exposed to a challenging curriculum that encourages them to achieve their goals while being empowered to become young women and leaders. Our Philosophy is GIRLS MATTER!",Spanish,Castle Hill-Clason Point,"456 White Plains Road, Bronx NY 10473 (40.815043, -73.85607)",718-542-0740,schools.nyc.gov/SchoolPortals/08/X282,338,BRONX    
Brooklyn School for Music & Theatre,"Brooklyn School for Music & Theatre (BSMT) uses our academic program to accommodate the intellectual, social, and emotional needs of creative high school students. Our vision is to provide a model professional environment where respect is mutual, ideas are shared, and learning is not limited to the classroom. We prepare students for higher education through our rigorous academic program while simultaneously allowing them to develop professional careers in the music and theatre industries.",Spanish,Crown Heights South,"883 Classon Avenue, Brooklyn NY 11225 (40.669805, -73.960689)",718-230-6250,www.bkmusicntheatre.com,352,BROOKLYN 
Epic High School - South,"Epic High School Â– South, an outgrowth of the NYC Expanded Success Initiative (ESI), provides a rigorous, culturally relevant academic program that prepares students for the demands of college and careers. EpicÂ’s personalized approach to instruction challenges students to dream big and design their futures. It engages students in solving real-world problems and supports their individual progress and growth. Epic students graduate with confidence in their ability to transform the world around them.",,South Ozone Park,"121-10 Rockaway Boulevard, South Ozone Park NY 11420 (40.675021, -73.81673)",718-845-1290,www.epicschoolsnyc.org,175,QUEENS   
Preparatory Academy for Writers: A College Board School,"Preparatory Academy for Writers: A College Board School is a small school committed to combining a challenging curriculum with a focus on writing and publishing. Students learn to think critically, communicate effectively, and be open to a wide range of ideas and experiences. Students in all programs will write for publication, both in print and online forums.","French, Spanish",Springfield Gardens North,"143-10 Springfield Boulevard, Springfield Gardens NY 11413 (40.66903, -73.757744)",718-949-8405,www.preparatoryacademyforwriters.com,578,QUEENS   
Brooklyn Generation School,"This school invites students and families to a four-year conversation to ensure they graduate with competence and confidence. Our students receive intensive, small group instruction on a daily basis and complete projects that connect learning to life. Brooklyn Generation School students benefit from our month-long College and Career Intensives, with dedicated time to focus on the college process and career exploration. Our teachers continually monitor and assess each studentÂ’s progress and keep parents informed of their childÂ’s academic strengths and challenges. Our liberal arts curriculum provides students with the skills, knowledge, and experience needed to become active and productive members of their community.",French,Canarsie,"6565 Flatlands Avenue, Brooklyn NY 11236 (40.634451, -73.916927)",718-968-4200,www.generationschools.org,234,BROOKLYN 
Pan American International High School,"The Pan American International High School is a diverse learning community of recently-immigrated English Language Learners (ELLs). Our primary focus is English language development, while providing opportunities for students to enhance their Spanish language skills. Our partnerships with organizations such as Urban Arts cultivate the leadership of students in their communities through service, learning projects, internships, and the arts. We are committed to creating an environment that celebrates studentsÂ’ individual identities while preparing them to be successful in college and become productive members of the global community.",Spanish,Elmhurst,"45-10 94th Street, Elmhurst NY 11373 (40.743228, -73.871505)",718-271-3602,www.panamericanihs.org,380,QUEENS   
"Bronx School for Law, Government and Justice","The Bronx School for Law, Government and Justice (LGJ) is an educational community that believes learning is a product of thinking. Students are engaged in Â“hands-on, minds-onÂ” learning in their core classes, as well as through the law curriculum, mentoring, internships, advisory, and extracurricular activities. LGJ is unique in that students have the opportunity to experience our stand-alone law curriculum while sharing a campus with the Bronx Court complex.",Spanish,E. Concourse-Concourse Village,"244 East 163rd Street, Bronx NY 10451 (40.827461, -73.919024)",718-410-3430,www.bronxlgj.org,772,BRONX    
Richmond Hill High School,"Through a college preparatory curriculum, our school focuses on the crucial life skills of problem-solving, critical thinking, and literacy. Our school meets all studentsÂ’ educational needs, beginning with the Ninth Grade Academy and continuing with focused Small Learning Communities. Each program fosters high expectations and academic achievement in a positive and supportive learning environment. The Small Learning Community pathways include themed programs for college and career readiness. We welcome our students and parents to join us in cultivating a professional learning community.",Spanish,Richmond Hill,"89-30 114th Street, Richmond Hill NY 11418 (40.695171, -73.833815)",718-846-3335,www.richmondhillhs.org,"1,950",QUEENS   
Stephen T. Mather Building Arts & Craftsmanship High School,"Are you hoping four years of high school will lead you to college, a challenging career, or both? Do you like projects, working with your hands, and learning by doing? How about field trips and exploring outdoors all year? Are you creative, inquisitive, action-oriented, responsible, a positive risk-taker, collaborative, and conscientious? At our school you will prepare for college and beyond through hands-on/minds-on learning and skills training. Partnered with the National Park Service (NPS), our school offers CTE pathways in the specialized building arts or landscape stewardship, all through the lens of historic preservation. You will build a strong academic foundation and learn solid trade skills, opening doors to a successful future.",,Clinton,"439 West 49th Street, Manhattan NY 10019 (40.763655, -73.990318)",212-399-3520,www.MatherHSNYC.org,282,MANHATTAN
Queens Gateway to Health Sciences Secondary School,"Queens Gateway to Health Sciences Secondary School (Gateway), Â‘The Public School with a Private Flair,Â’ is committed to discipline and hard work. We are proud of the high academic achievement of our students, who are currently recognized for their performance in mathematics. Our focus is on Health Careers and students are required to participate in the Hospital Experience Program at Queens Hospital Center. Our nurturing school environment includes staff, parents and supportive partners. Together, we hold high expectations for the success of all students.",Spanish,Flushing Heights-Hillcrest,"160-20 Goethals Avenue, Jamaica NY 11432 (40.718027, -73.805923)",718-969-3155,www.queensgateway.com,726,QUEENS   
World Journalism Preparatory: A College Board School,"At World Journalism Preparatory, journalism is a tool used to share learning and practice the habits of critical thinking in regard to citizenship and democracy. Student publications include a school newspaper, magazine, news broadcast program, podcasts, websites, and blogs. Opportunities to be immersed in journalism exist through fieldwork, creative projects, performances, interviews, and readings set in the community. The school has writing labs for parents as well as students. Students visit television networks, newspapers, publishers, colleges, and other post-secondary schools.",Spanish,Auburndale,"34-65 192nd Street, Flushing NY 11358 (40.764884, -73.789365)",718-461-2219,www.wjps.org,597,QUEENS   
Frank Sinatra School of the Arts High School,"It is the policy of Frank Sinatra School of the Arts (FSSA) High School that every student receives the most challenging academic and arts program possible. We offer every student the opportunity to take four years of science and math in addition to four years of English and social studies. The studio arts program provides students an intensive sequential study of an art form that includes the chance to explore the history, cultural significance, and aesthetics of their selected art form. Students will be introduced to all of the disciplines offered at FSSA through a curriculum that enables students to make connections with all art forms, fostering a true artistic community.",Spanish,Astoria,"35-12 35th Avenue, Astoria NY 11106 (40.756099, -73.925182)",718-361-9920,www.FrankSinatraSchoolOfTheArts.org,828,QUEENS   
Bronx High School for Law and Community Service,"Our mission at Bronx High School for Law and Community Service is to support self-motivation, intellectual curiosity, and integrity. Graduates successfully achieve their goals in college, career, and beyond. We are a small high school with a four-year college and career plan focused on law enforcement and service to those in need. It is our belief that all people, regardless of their socioeconomic status or ethnic background, can make meaningful contributions to humanity by serving others. With the help of our partners, students are offered meaningful experiences in their chosen area of interest.","Italian, Spanish",Belmont,"500 East Fordham Road, Bronx NY 10458 (40.859466, -73.888625)",718-733-5274,schools.nyc.gov/SchoolPortals/10/X439,392,BRONX    
Benjamin Franklin High School for Finance & Information Technology,"Our mission is to provide young men and women with the foundations for success in college and for careers in Information Technology (IT) and Finance. We support studentsÂ’ growth and learning while providing strong foundations and preparation for college and professional life. As a CTE school, we nurture and support our students while providing rich, industry-approved coursework and recognized certification in the fields of IT and Finance. Our students graduate with the 21st century skills to achieve success in any educational pursuit as active citizens and advocates for their community.",,Cambria Heights,"207- 01 116th Avenue, Cambria Heights NY 11411 (40.698786, -73.74633)",718-276-0150,schools.nyc.gov/schoolportals/29/Q313,205,QUEENS   
East Side Community School,"We are a small college preparatory school that takes pride in our engaging and challenging curriculum. In all classes, our students creatively apply what they learn to complete interesting and rigorous projects. Our teachers know our students well and provide the support they need to succeed. Because we believe that it is important for students to discover and develop their passions, we offer our students an amazing amount of extra curricular activities and travel opportunities that they enjoy tremendously. East Side is a great setting for students who are interested in being part of a vibrant and diverse community that focuses on academic, social, and emotional growth.",Spanish,East Village,"420 East 12th Street, Manhattan NY 10009 (40.729152, -73.982472)",212-460-8467,www.eschs.org,677,MANHATTAN
Independence High School,"Independence High School is a high school which embraces teaching and learning in a small, caring environment with high academic standards. We offer multicultural, interdisciplinary curriculum with an infusion of the arts and technology. Through enhanced guidance services, an advisor works with each student and parent to achieve academic goals and set post-secondary plans. We envision our high school community, which encompasses students, staff, and parents to be actively engaged in maintaining academic excellence, to help foster self-esteem, and to develop healthier decision-making skills so that students may develop and work up to their full potential. We nurture a passion for learning and problem-solving skills using Restorative Practices in an environment built on high accountability and high support. Families will be encouraged to maintain a high level of engagement with the school. College visits, career fairs, and guest speakers from local and distant colleges are frequently set throughout the year. Our students explore entry-level careers via collaboration with a successful community-based organization.","French, Latin, Spanish",Clinton,"850 10th Avenue, Manhattan NY 10019 (40.767848, -73.98861)",212-262-8067,schools.nyc.gov/schoolportals/02/M544,314,MANHATTAN
High School for Media and Communications,"The High School for Media and Communications is a small learning community whose mission is to provide a rigorous education that encourages and inspires inquiry, creativity, critical thinking, and free expression. Our responsibility is to provide a learning environment that is engaging and culturally and socially responsive in order to develop lifelong learners who will succeed in college and future careers, and become productive citizens.",Spanish,Washington Heights N.,"549 Audubon Avenue, Manhattan NY 10040 (40.856532, -73.92606)",212-927-1841,www.hsmcnyc.org,427,MANHATTAN
Vanguard High School,"Our school community is committed to helping our students become articulate, analytical, reflective, and empathetic citizens. Respect for self and others is central to achieving our goals. Our advisory system maintains close ties with our students and their families. As a member of the Coalition of Essential Schools, we adhere to the principles of small class sizes, longer block scheduling, shared planning and instruction, cooperative learning, project-based curriculum, and portfolio-based assessment in classes and graduation. Class discussions and assignments adhere to the Coalition Habits of Mind: using evidence, investigating points of view, making connections, and seeking relevance.","French, Spanish",Lenox Hill,"317 East 67th Street, Manhattan NY 10065 (40.765638, -73.959777)",212-517-5175,www.vanguardnyc.net,461,MANHATTAN
"Queens School of Inquiry, The","The Queens School of Inquiry is an early college school designed to prepare students to succeed in college. Our students have the opportunity to earn up to 62 tuition-free Queens College credits while still in high school. We help students develop academic skills in an environment that promotes inquiry-based learning and self-management. A close collaboration with Queens College, CUNY, and the Bill & Melinda Gates Foundation, along with a dedicated faculty, enables us to promote college readiness and career awareness. We are a neighborhood school that emphasizes real-life applications of academic content in our effort to educate caring and ethical citizens.","Japanese, Latin, Spanish",Kew Gardens Hills,"158-40 76 Road, Fresh Meadows NY 11366 (40.724195, -73.80938)",718-380-6929,www.queensinquiry.com,553,QUEENS   
Young Women's Leadership School of Brooklyn (TYWLS),"in order to maximize academic achievement, social and emotional well-being, and post-secondary success. TYWLS is supported by Young Women's Leadership Network and its CollegeBound Initiative in order to replicate the best practices of private and independent girls schools. TYWLS of Brooklyn opened in 2008 as the fifth school in the network. TYWLS strives to instill in students a sense of self-efficacy and community responsibility, characteristics which will support them as they become the leaders of the next generation.",Spanish,Bushwick,"325 Bushwick Avenue, Brooklyn NY 11206 (40.705005, -73.93879)",718-387-5641,www.ywlnetwork.org,375,BROOKLYN 
High School of Economics and Finance,"We offer a challenging academic program with additional requirements, including a senior research thesis and a four-year program of coursework in economics and finance. Students also complete internships with major financial companies. Our diverse, welcoming community extends beyond our school doors to include corporate partners from the surrounding Wall Street area. A full-time college counseling staff coordinates the college admissions process. Students find enrichment in our various athletic, artistic, civic, and cultural programs and our state-of-the-art library and technology center.","French, Spanish",Lower Manhattan,"100 Trinity Place, Manhattan NY 10006 (40.70927, -74.012328)",212-346-0708,www.ecoandfin.org,761,MANHATTAN
Bronx Collegiate Academy,The mission of Bronx Collegiate Academy (BCA) is to ensure that each student graduates prepared for the rigors of college. BCA is a small school that provides all students with the support and individual attention they need in order to achieve academic success.,"American Sign Language, French, Spanish",E. Concourse-Concourse Village,"240 East 172nd Street, Bronx NY 10457 (40.839307, -73.911366)",718-410-4077,sites.google.com/site/bronxcollegiateacademy,395,BRONX    
Bronx Academy for Software Engineering (BASE),"Bronx Academy for Software Engineering (BASE) is a CTE high school preparing students to work and play in the world of software design and programming. Classes such as Mobile App Design use the tools of software engineering to focus on real-world problem solving. Internships with industry leaders give students experience with cutting-edge technology. Seminar classes help students make connections across their academic classes, get to know each other, and develop post-graduation plans. BASE graduates are prepared to develop their skills in college, enter the software industry as programmers or website designers, and understand and help the communities they live in.",Italian,Belmont,"2474 Crotona Avenue, Bronx NY 10458 (40.855392, -73.882487)",718-733-6024,www.bronxsoftware.org,328,BRONX    
